Time(ms),Zone,Speed(M/s),ID,Status,Step,Yaw,Pitch,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,NearestCarId,NearestCarType,NearestCarDistance,NearestCar_Speed,NearestCarPos_X,NearestCarPos_Y,NearestCarPos_Z
10.7,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
10.8,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
10.9,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
11,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
11.1,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
11.2,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
11.3,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
11.4,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
11.5,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
11.6,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
11.7,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
11.8,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
11.9,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
12,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
12.1,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
12.2,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
12.3,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
12.4,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
12.5,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
12.6,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
12.7,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
12.8,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
12.9,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
13,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
13.1,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
13.2,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
13.3,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
13.4,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
13.5,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
13.6,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
